,body_type,co2Emissions,condition,doors,engine_size,isTradeSeller,make,manufactured_year,mileage,model,price,seats,transmission,location
1468,SUV,164,Used,5.0,1.5,True,Ford,2019.0,12977,Kuga,14495.0,5.0,Manual,London
1469,SUV,147,Used,5.0,1.6,True,Hyundai,2018.0,18245,Tucson,13898.0,5.0,Manual,London
1470,SUV,169,Used,5.0,1.6,True,Mercedes-Benz,2019.0,14600,GLA Class,18790.0,5.0,Automatic,London
1472,SUV,162,Used,5.0,1.6,True,Hyundai,2019.0,18312,Tucson,15400.0,5.0,Manual,London
1473,Hatchback,95,Used,5.0,1.0,True,Peugeot,2018.0,1900,108,6500.0,4.0,Automatic,London
1474,Hatchback,117,Used,5.0,1.5,False,Audi,2019.0,13500,A3,19695.0,5.0,Automatic,London
1475,Hatchback,97,Used,3.0,1.0,True,Ford,2018.0,32562,Fiesta,10100.0,5.0,Manual,London
1476,Hatchback,110,Used,5.0,1.0,True,Honda,2019.0,2500,Civic,11995.0,5.0,Manual,London
1477,Hatchback,108,Used,5.0,1.0,True,Ford,2018.0,18121,Focus,11299.0,5.0,Manual,London
1478,SUV,186,Used,5.0,1.6,True,Nissan,2018.0,2495,Juke,12000.0,5.0,Manual,London
1479,Hatchback,97,Used,3.0,1.0,True,Ford,2018.0,32562,Fiesta,10100.0,5.0,Manual,London
1480,Hatchback,102,Used,5.0,1.0,True,Ford,2018.0,31437,Fiesta,11300.0,5.0,Manual,London
1481,Saloon,199,Used,4.0,4.0,False,Mercedes-Benz,2018.0,8115,S Class,71950.0,5.0,Automatic,London
1482,Convertible,208,Used,2.0,4.0,False,Mercedes-Benz,2018.0,7000,C Class,46500.0,4.0,Automatic,London
1484,SUV,257,Nearly New,5.0,3.0,True,Maserati,2020.0,1150,Levante,54950.0,5.0,Automatic,London
1485,Convertible,267,Nearly New,2.0,3.8,True,Ferrari,2019.0,600,Portofino,159950.0,4.0,Automatic,London
1486,SUV,257,Nearly New,5.0,3.0,True,Maserati,2020.0,1000,Levante,69950.0,5.0,Automatic,London
1487,Hatchback,93,Nearly New,5.0,1.0,True,Toyota,2019.0,3000,AYGO,10390.0,4.0,Manual,London
1489,Coupe,233,Nearly New,2.0,3.0,True,Jaguar,2019.0,1260,F-Type,53990.0,2.0,Automatic,London
1490,Hatchback,95,Used,5.0,1.0,True,Toyota,2018.0,16714,AYGO,7299.0,4.0,Manual,London
1492,SUV,198,Used,5.0,1.6,False,Kia,2019.0,9600,Sportage,20660.0,5.0,Automatic,London
1493,SUV,267,Nearly New,5.0,3.0,True,Maserati,2019.0,8600,Levante,59950.0,5.0,Automatic,London
1494,Estate,223,Used,5.0,4.0,False,Audi,2018.0,6160,RS6 Avant,77500.0,5.0,Automatic,London
1496,Coupe,357,Nearly New,2.0,6.6,True,Rolls-Royce,2019.0,2236,Wraith,245950.0,4.0,Automatic,London
1497,SUV,175,Nearly New,5.0,2.0,False,Jaguar,2019.0,2661,F-PACE,42500.0,5.0,Automatic,London
1498,SUV,205,Used,5.0,3.0,False,Porsche,2018.0,13000,Cayenne,54950.0,5.0,Automatic,London
1499,Hatchback,147,Used,5.0,1.6,True,Vauxhall,2018.0,10854,Astra,12000.0,5.0,Manual,London
